Column Name,Description
success,"Determines whether the call is successful or not, True for success and false for failure"
ct_actFl ,"Yes/No flag, indicating the active/inactive status of the contract's trading line:
N = Indicates Inactive 
Y = Indicates Active"
ct_exchCd ,Exchange code of the session in where the security is trading.
ct_lstngCycleTp ,"Listing cycle type.

More specifically:
Smallest unit of time between two or more contracts for a specific ETD product, provided that the ETD does not have an irregular listing cycle. 
Contracts from that same ETD product that initially are listed with a larger unit of time between them, but contain the same expiration date policy, are assumed to flow into that smallest unit of time and therefore, bear the same Listing Cycle Type as of their first listing date.

For example, Options on Comex Gold futures at CMEG (OG) shall be listed for trading in each of the nearest twenty (20) consecutive futures contract months. In addition, June and December will be listed for 72 months from the current listed month.
And therefore the listing cycle type is Monthly."
ct_omic ,ISO 10383 operating MIC in case the Exchange Code is a segment MIC.
ct_segTp ,"Identifies the segment (venue) of the contract's trading line. Possible values are: Electronic, Pit , OTC or Composite."
ct_smic ,ISO 10383 MIC in case the Exchange Code is a segment MIC
ct_tckSz ,A contract's minimum price change
ct_tckVal ,The value of a contract's minimum price change. 
ct_trdStsTp ,"Indicates whether the contract's trading line is active, inactive or expired."
ct_vndrExchCd ,"Vendor exchange code of the session in where the security is trading, and can return for all the sources the original exchange code value."
ct_ticker,Exchange symbol (also known as Ticker or Trade Symbol) of contract.
ct_bbgIdBBGlobal,The Bloomberg ID_BB_GLOBAL code of the contract.
ct_rduSecId,"An RDU internally generated ID (18 characters) that represents a unique security.
Example of an XRF security RDU ID is: XRFISE000123456789."
ct_rduSegId,"An RDU internally generated ID (18 characters) that represents a unique security segment.
Example of an XRF security  segment RDU ID is: XRFISG000123456789."
ct_bbgCompositeIdBbGlobal,The Bloomberg COMPOSITE_ID_BB_GLOBAL code of the contract.
ct_rduSecIdExp,An RDU internally generated ID (18 characters) that represents a unique expired security.
ct_rduSegIdExp,An RDU internally generated ID (18 characters) that represents a unique expired security segment.
ct_gmiFullPrdCd,"GMI (Newedge Back Office System) ETD full product code constructed based on their three internal codes: 
- Exchange code;
- ETD Product code;
- Sub-type code."
p_clrngCd ,
p_name ,"The product name. For example, clearing code 0A on CMEG has as Product name: MINI EUR1%FUELOIL FOB RDM BALMO SW"
p_roundLotSz ,The minimum number of units from the product's contracts that can be traded on the exchange. 
p_trdCtyCd ,Trade currency of the contracts corresponding to this product.
p_trdCcyMajorFl ,"Yes/No flag, indicating whether the trade currency is a major currency or not."
p_trdCcyCd ,Trade currency of the contracts corresponding to this product.
p_dayNum ,"In case the exchange provides different exchange prefixes for daily contracts, this attribute will provide the day code.
Therefore for daily products, the day code (1 to 31) associated to the product contracts."
p_maxOrdSz ,The maximum size allowed under a single order in a contract from this product.
p_tckSzDnmntr ,"When the tick size is expressed as a fraction, the fraction denominator (e.g. 32, for 1/32)."
p_prdTp ,"RDU proprietary product type for ETDs. Possible values are: 
FUT: Futures (SWAP/FORWARD/CFD/CDS are handled as Futures)
OPT: Options (SWAPTION are handled as Options)
STR: Strategies.
NOTE: Only to be populated at the parent product record, never at child product level."
p_flexElgblFl ,Indicates whether the product is eligible for flex contracts.
p_clrngCcyCd ,Clearing currency of the contracts corresponding to this product.
p_msrmntUntCd ,"Unit code in which contract size is specified. For example: Metric Tons, US Dollar, US Dollar cents, Million BTU's, etc."
p_tckSzNmrtr ,"When the tick size is expressed as a fraction, the fraction numerator (e.g. 1, for 1/32)."
p_spotMnthPosLmt ,"Product Spot Month Position Limit. Position limit, or the maximum amount the trader may own or control, separately or in combination, net long or short, for the spot month, or the month when the contract reaches maturity and becomes deliverable."
p_mnthPosLmt ,"Product Month Position Limit. Position limit, or the maximum amount the trader may own or control, for all contracts for a single month for this product."
p_allMnthPosLmt ,"Product All Month Position Limit. Position limit, or the maximum amount the trader may own or control, netting as permitted by the regulator, for all contracts for this product."
p_blckTrdElgblFl ,"Yes/No flag, indicating whether the product is eligible for block trades contracts."
p_exchRptngLvl ,"Size of positions, in any single futures or option expiration month, set by the exchange at or above which commodity traders or brokers who carry these accounts must make daily reports about the entire position in all futures and options expiration months in that commodity, regardless of size. "
p_cftcRptngLvl ,"Size of positions, in any single futures or option expiration month, set by the CFTC at or above which commodity traders or brokers who carry these accounts must make daily reports about the entire position in all futures and options expiration months in that commodity, regardless of size. "
p_trdStsTp ,Indicates whether the product is active or inactive.
p_cftcRegFl ,"Yes/No Flag, identifying whether the trading venue is identified as a regulated market by the US Commoditiy Futures Trading Commission (CFTC)."
p_undlRltnsTp ,"For derivative products in which the payoff of their contract is based on more than one price reference and/or underlying security. Possible values are: Spread (the final settlement payoff is calculated based on the price difference of Underlying leg 1 - Underlying leg 2), Basket (the final settlement payoff is calculated based on the prices from the multiple underlyings 2 to N, weighted by the values provided in Product/Underliers/Underlier/Basics/Qty or Product/Underliers/Underlier/Basics/AllctnPct for each underlier leg (Product/Underliers/Underlier/Basics/LegNum) 
RDU Internal note: If in the future we encounter derivative products in which the payoff is based on a basket including underlying futures contracts, we should add Product/Contracts/Contract/Underliers/Underlier/Basics/Qty and/or Product/Contracts/Contract/Underliers/Underlier/Basics/AllctnPct to provide this data for each underlier leg at contract level (Product/Contracts/Contract/Underliers/Underlier/Basics/LegNum)"
c_assetTp ,"RDU proprietary asset type classification of the contract, intended to be provided the most granular asset type classification where possible."
c_expDt ,The date on which the contract is no longer valid and ceases to exist.
c_lstTrdDt ,Last date that the contract is available for trade.   
c_settleDt ,Date on which payment is due to settle a trade.
c_frstDlvryDt ,The first date on which the underlying may be delivered into a futures contract. 
